WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
8065;P-16934;FISPOLY40, P-16934;528;P-16934;FISPOLY40, P-16934;1;product
8067;P-20148;FISPOLY40, P-20148;529;P-20148;FISPOLY40, P-20148;1;product
8069;P-30116;FISPOLY40, P-30116;530;P-30116;FISPOLY40, P-30116;1;product
8071;P-30183;FISPOLY40, P-30183;531;P-30183;FISPOLY40, P-30183;1;product
8073;P-40109;FISPOLY40, P-40109;532;P-40109;FISPOLY40, P-40109;1;product
8075;P-66409;FISPOLY40, P-66409;533;P-66409;FISPOLY40, P-66409;1;product
8077;P-70140;FISPOLY40, P-70140;534;P-70140;FISPOLY40, P-70140;1;product
8079;P-70100;FISPOLY40, P-70100;535;P-70100;FISPOLY40, P-70100;1;product
8081;P-30147;FISPOLY40, P-30147;536;P-30147;FISPOLY40, P-30147;1;product
8083;P-40112;FISPOLY40, P-40112;537;P-40112;FISPOLY40, P-40112;1;product
8085;P-10105;FISPOLY40, P-10105;538;P-10105;FISPOLY40, P-10105;1;product
8091;P-10103;FISPOLY40, P-10103;544;P-10103;FISPOLY40, P-10103;1;product
8093;P-10116;FISPOLY40, P-10116;546;P-10116;FISPOLY40, P-10116;1;product
8095;P-50134;FISPOLY40, P-50134;547;P-50134;FISPOLY40, P-50134;1;product
8097;P-10157;FISPOLY40, P-10157;548;P-10157;FISPOLY40, P-10157;1;product
8098;P-20126;FISPOLY40, P-20126;549;P-20126;FISPOLY40, P-20126;1;product
8103;P-10153;FISPOLY40, P-10153;553;P-10153;FISPOLY40, P-10153;1;product
8105;P-20120;FISPOLY40, P-20120;554;P-20120;FISPOLY40, P-20120;1;product
8107;P-26797;FISPOLY40, P-26797;555;P-26797;FISPOLY40, P-26797;1;product
8117;P-20130;FISPOLY40, P-20130;564;P-20130;FISPOLY40, P-20130;1;product
8119;P-5644;FISPOLY40, P-5644;565;P-5644;FISPOLY40, P-5644;1;product
8121;P-56405;FISPOLY40, P-56405;566;P-56405;FISPOLY40, P-56405;1;product
8123;P-56413;FISPOLY40, P-56413;567;P-56413;FISPOLY40, P-56413;1;product
8126;P-46499;FISPOLY40, P-46499;569;P-46499;FISPOLY40, P-46499;1;product
8129;P-56402;FISPOLY40, P-56402;571;P-56402;FISPOLY40, P-56402;1;product
8139;P-40136;FISPOLY40, P-40136;578;P-40136;FISPOLY40, P-40136;1;product
8146;P-80147;FISPOLY40, P-80147;584;P-80147;FISPOLY40, P-80147;1;product
8158;P-80133;FISPOLY40, P-80133;595;P-80133;FISPOLY40, P-80133;1;product
8161;P-80120;FISPOLY40, P-80120;597;P-80120;FISPOLY40, P-80120;1;product
8164;P-80134;FISPOLY40, P-80134;599;P-80134;FISPOLY40, P-80134;1;product
8169;P-56046;FISPOLY40, P-56046;603;P-56046;FISPOLY40, P-56046;1;product
8172;P-56053;FISPOLY40, P-56053;605;P-56053;FISPOLY40, P-56053;1;product
8174;P-10144;FISPOLY40, P-10144;606;P-10144;FISPOLY40, P-10144;1;product
8177;P-56037;FISPOLY40, P-56037;608;P-56037;FISPOLY40, P-56037;1;product
8181;P-10154;FISPOLY40, P-10154;611;P-10154;FISPOLY40, P-10154;1;product
8184;P-56038;FISPOLY40, P-56038;613;P-56038;FISPOLY40, P-56038;1;product
8186;P-50279;FISPOLY40, P-50279;620;P-50279;FISPOLY40, P-50279;1;product
8188;P-60138;FISPOLY40, P-60138;622;P-60138;FISPOLY40, P-60138;1;product
8190;P-60125;FISPOLY40, P-60125;628;P-60125;FISPOLY40, P-60125;1;product
8192;P-20114;FISPOLY40, P-20114;635;P-20114;FISPOLY40, P-20114;1;product
8194;P-56047;FISPOLY40, P-56047;636;P-56047;FISPOLY40, P-56047;1;product
8196;P-50106;FISPOLY40, P-50106;637;P-50106;FISPOLY40, P-50106;1;product
8198;P-50158;FISPOLY40, P-50158;639;P-50158;FISPOLY40, P-50158;1;product
8200;P-50149;FISPOLY40, P-50149;640;P-50149;FISPOLY40, P-50149;1;product
8202;P-50136;FISPOLY40, P-50136;643;P-50136;FISPOLY40, P-50136;1;product
8204;P-46600;FISPOLY40, P-46600;651;P-46600;FISPOLY40, P-46600;1;product
