ID producto;Referencia interna;Nombre;Num pedidos;Stock;Nota
488;PREB ROYAL NE;CAJA DE CANILLAS PREBOBINADAS PREMIUM ROYAL COLOR NEGRO 70D/2 L;2;0.0;CONSERVAR - tiene historial ventas
1406;9820 110018;ELECTROIMAN ALZAPATAS DK 888;2;0.0;CONSERVAR - tiene historial ventas
3408;;NOTA;2;0.0;CONSERVAR - tiene historial ventas
3417;GB134KKSD-70;AGUJAS 134KKSD-70;2;0.0;CONSERVAR - tiene historial ventas
1589;0992 023577;TORNILLO DELANTERO DK 888;2;0.0;CONSERVAR - tiene historial ventas
1633;GB134D-120;AGUJAS 134D-120;2;0.0;CONSERVAR - tiene historial ventas
3350;LTB1967;LTB1967;2;0.0;CONSERVAR - tiene historial ventas
1158;ESP4BLA;ESPUMA 4MM BLANCA;2;0.0;CONSERVAR - tiene historial ventas
1159;ESP4NE;ESPUMA4NEGRA;2;0.0;CONSERVAR - tiene historial ventas
506;P-BEYAZ;FISPOLY40, BEYAZ (BLANCO);2;0.0;CONSERVAR - tiene historial ventas
2701;HCU2-1401-40;HCU2-1401-40W                                      ;2;0.0;CONSERVAR - tiene historial ventas
2736;HCS05020;CUCHILLA FIJA HAPPY HCS3;2;0.0;CONSERVAR - tiene historial ventas
1392;NYLONBLANCO;PRO-NYLON PARA EL BORDADO (1,6m) BLANCO;2;0.0;CONSERVAR - tiene historial ventas
3367;GB134LR-60;AGUJAS 134LR-60;2;0.0;CONSERVAR - tiene historial ventas
1398;TA-FX0227000000;CUCHILLA MOVIL TAJIMA TMFD;2;0.0;CONSERVAR - tiene historial ventas
3110;LTB1765;COLOR 1765;2;0.0;CONSERVAR - tiene historial ventas
1748;S080 870167;CUCHILLA MOVIL ZIG-ZAG dk 52X / GB;2;0.0;CONSERVAR - tiene historial ventas
3428;9850 001089;LED DK 52X;1;0.0;CONSERVAR - tiene historial ventas
3435;STAD03004;TORNILLO PLACA REFUERZO BASTIDOR GORRAS HCS;1;0.0;CONSERVAR - tiene historial ventas
3430;S080 818711;RESORTE DK ;1;0.0;CONSERVAR - tiene historial ventas
987;GBDBXK5-65RG;AGUJA DBXK5 65RG;1;0.0;CONSERVAR - tiene historial ventas
3440;;RIBETEADOR INCLINADO 22X6;1;0.0;CONSERVAR - tiene historial ventas
3448;ENCHUFERAP;ENCHUFE RÁPIDO;1;0.0;CONSERVAR - tiene historial ventas
3447;DESPCOS;DESPLAZAMIENTO EN MÁQUINAS DE COSER;1;0.0;CONSERVAR - tiene historial ventas
3449;6-82-2Y;EXCÉNTRICO Nº24 MERROW;1;0.0;CONSERVAR - tiene historial ventas
3462;;GOMA TOPE SOLENOIDE ALZAPATAS;1;0.0;CONSERVAR - tiene historial ventas
3465;;PLANTILLAS ROSCADAS AJUSTADOR BOQUILLA Y CUCHILLA SAGITTA;1;0.0;CONSERVAR - tiene historial ventas
3466;;AFILAR CUCHILLA SAGITTA;1;0.0;CONSERVAR - tiene historial ventas
3460;GB134-35D-100;AGUJAS 134-35D-100;1;0.0;CONSERVAR - tiene historial ventas
3470;;TRABAJOS EN CAMBIO DE BIELA Y AJUSTE MAQUINA PF 491;1;0.0;CONSERVAR - tiene historial ventas
3452;;Sincro motor;1;0.0;CONSERVAR - tiene historial ventas
3453;;TORNILLO SUJECCIÓN PLATO MAQ. AUTÓMATA;1;0.0;CONSERVAR - tiene historial ventas
3461;;TORNILLO SOPORTE CUCHILLA DK 888;1;0.0;CONSERVAR - tiene historial ventas
3463;;MANGUERA 5 HILOS;1;0.0;CONSERVAR - tiene historial ventas
3464;;HACER EJE 16 ROSCADO;1;0.0;CONSERVAR - tiene historial ventas
3467;;PUENTE RECTIFICADOR VIA VOLONTE;1;0.0;CONSERVAR - tiene historial ventas
3468;;RIBETEADOR DE 19X5,5 VIVO ITALIANO PLANTA;1;0.0;CONSERVAR - tiene historial ventas
3469;;AJUSTADOR PALANCA RODILLERA;1;0.0;CONSERVAR - tiene historial ventas
3471;LASER KX1390-F;LASER KASU CON RECONOCIMIENTO POR CÁMARA;1;0.0;CONSERVAR - tiene historial ventas
3478;;PRISMA AUTO 40X60;1;0.0;CONSERVAR - tiene historial ventas
2514;HR3U37A2;BASTIDOR GORRAS HAPPY HCR3-;1;0.0;CONSERVAR - tiene historial ventas
1357;GB332R-90;AGUJAS 332-90R;1;0.0;CONSERVAR - tiene historial ventas
2858;0667 165220;MUELLE TENSOR DK;1;0.0;CONSERVAR - tiene historial ventas
1261;GBDBXK5SAN1-70RG;AGUJAS DBXK5 70RG gebedur;1;0.0;CONSERVAR - tiene historial ventas
3331;PEC-1204;"- MAQUINA DE BORDAR SINSIM DE CUATRO CABEZALES Y 12 AGUJAS, CON CAMPO DE TRABAJO DE 400X400, EQUIPADA CON GARFIO JAPONÉS, MONITOR DE 10 PULGADAS, CONDUCCIÓN DE BASTIDOR SUSPENDIDA PARA UN MAYOR APROVECHAMIENTO DEL ESPACIO DE BORDADO Y TECNOLOGÍA SERVOMOTOR.

- VELOCIDAD 1200 RPM. 
- GARFIO JAPONES HIROSE.
- PANEL S10 PRO, CON CONVERSION DE ARCHIVOS JPG DIRECTAMENTE A DST.
- CAMBIO DE COLOR AUTOMATICO
- FUNCIÓN DE AVANCE Y RETROCESO DEL BASTIDOR CON UN SOLO TOQUE
- FUNCION CORTE DE HILO AUTOMATICO
- ALARMA AUTOMATICA LIMITE DEL DISEÑO
- ILUMINACION LED FRONTAL
- FUNCION TRANSMISION DEL DISEÑO INHALAMBRICO
- FUNCION SELECCION DEL BASTIDOR
- RESTABLECIMIENTO POR FALLO DE CORRIENTE EN UN SOLO TOQUE. OPCIONAL: SISTEMA RECONOCIMIENTO


INCLUYE:
8 X Aro 70, 8 X Aro 110, 8 X Aro 150, 8 X Aro 190, 8 X Aro 270*270 , 8 X Aro 530*330, 1 X Kit de Gorras, Bobinador de Canillas, 1 X Mesa plana, 1 X Bastidor Portal, 1 X Soporte de máquina.";1;0.0;CONSERVAR - tiene historial ventas
2183;91-119449-12;BIELA cortahilos pf 491;1;0.0;CONSERVAR - tiene historial ventas
3593;;FUNDA PLANCHA;1;0.0;CONSERVAR - tiene historial ventas
3599;;MUELLE PRESILLA TTY;1;0.0;CONSERVAR - tiene historial ventas
3600;;RIBETEADOR DE 17X4 CON PUENTE TRASERO Y PASE CANUTILLO;1;0.0;CONSERVAR - tiene historial ventas
3603;;Anticipo;1;0.0;CONSERVAR - tiene historial ventas
3594;;RACOR UNION 6mm;1;0.0;CONSERVAR - tiene historial ventas
3595;;garfio dk 888;1;0.0;CONSERVAR - tiene historial ventas
3597;;RODETA ABATIBLE;1;0.0;CONSERVAR - tiene historial ventas
3601;;RIBETEADOR 20X6;1;0.0;CONSERVAR - tiene historial ventas
1541;S321 010220;BOLA BAQUELITA TOPE DK;1;0.0;CONSERVAR - tiene historial ventas
1696;GB134-35D-140;AGUJAS 134-35D-140;1;0.0;CONSERVAR - tiene historial ventas
2708;NYLONAZULINA;PRO-NYLON PARA EL BORDADO (1,6M) AZULINA;1;0.0;CONSERVAR - tiene historial ventas
3291;S080 627037;PORTA AGUJA DK 524;1;0.0;CONSERVAR - tiene historial ventas
3322;LTB1775;COLOR 1775;1;0.0;CONSERVAR - tiene historial ventas
3332;;PLACA ELECTRONICA ON/OFF CABEZAL HCR2;1;0.0;CONSERVAR - tiene historial ventas
1002;HCB05070;CAZAHILOS HILO CANILLA HAPPY HCS/HCS2/HCD/HCD2/HCR2;1;0.0;CONSERVAR - tiene historial ventas
1062;HCG14B20;FIELTRO 12 AGUJAS HAPPY HCG/HCM/HMF;1;0.0;CONSERVAR - tiene historial ventas
1676;MID 12;BASTIDOR TUBULAR MID 12CM TIPO HAPPY;1;0.0;CONSERVAR - tiene historial ventas
2202;HCR79020;CONJUNTO FRENO HAPPY HCR2;1;0.0;CONSERVAR - tiene historial ventas
2888;ANZELSLW;ANZEL SUPER LUX (FINO) WHITE 60/2 10.000MT HILO CANILLA;1;0.0;CONSERVAR - tiene historial ventas
1478;GL60001402;CORREA ARRASTRE GB LP971;1;0.0;CONSERVAR - tiene historial ventas
1811;CORREA Z-56;CORREA Z-56 OPTIB.;1;0.0;CONSERVAR - tiene historial ventas
1452;GB134KKD-80;AGUJAS 134KKD-80;1;0.0;CONSERVAR - tiene historial ventas
1606;HCU04A71;CUCHILLA MOVIL HAPPY HCU;1;0.0;CONSERVAR - tiene historial ventas
1530;BO-55623;CANILLA ALFA/MB/MAQ. BORDAR Y SINGER 20U;1;0.0;CONSERVAR - tiene historial ventas
1850;0667 156530;CANILLA PEQUEÑA 22MM DK 888;1;0.0;CONSERVAR - tiene historial ventas
2057;HIDRO110M-60;FILM HIDROSOLUBLE 110 60CMX100MT.;1;0.0;CONSERVAR - tiene historial ventas
2341;FR-ZP5C;BIELA ACCTO.ANCORA;1;0.0;CONSERVAR - tiene historial ventas
2118;8.02.410;CABLE TENSOR BIGORNIA MEC-VAL CS-87;1;0.0;CONSERVAR - tiene historial ventas
2174;91-119256-05;ARANDELA GOMA EJE BIELA PF-491;1;0.0;CONSERVAR - tiene historial ventas
3038;050320940000;CUCHILLA FIJA 2 AGUJEROS TAJIMA TFMX-2C TIPO 2;1;0.0;CONSERVAR - tiene historial ventas
2852;MID 18;BASTIDOR TUBULAR MID 18CM TIPO HAPPY;1;0.0;CONSERVAR - tiene historial ventas
2855;30090-a;CORREA MOTOR HAPPY HCH;1;0.0;CONSERVAR - tiene historial ventas
2534;HCG902670;BUSH ASS´Y;1;0.0;CONSERVAR - tiene historial ventas
3112;LTB1838;COLOR 1838;1;0.0;CONSERVAR - tiene historial ventas
2851;MID 15;BASTIDOR TUBULAR MID 15CM TIPO HAPPY;1;0.0;CONSERVAR - tiene historial ventas
1550;BO-18034;CANILLA MB GARFIO GRANDE;1;0.0;CONSERVAR - tiene historial ventas
1931;KC270720;FIELTRO GANCHO RETIRAHILOS BARUDAN ANTIGUAS;1;0.0;CONSERVAR - tiene historial ventas
1020;SPAD02003;PAN HEAD SCREW M2X3-HCS  A HAPPY;1;0.0;CONSERVAR - tiene historial ventas
527;P-SIYAH;FISPOLY40, SIYAH (NEGRO);1;0.0;CONSERVAR - tiene historial ventas
1170;HSA12270;MUELLE TIRAHILOS HAPPY HCS/HCS2/HCR3/HCD;1;0.0;CONSERVAR - tiene historial ventas
2271;HCJU79030;MOTOR PRINCIPAL HAPPY HCH;1;0.0;CONSERVAR - tiene historial ventas
2382;0688 320710;MUELLE PRESION RODETA DK 888;1;0.0;CONSERVAR - tiene historial ventas
2254;91-118683-05;MUELLE RETROCESO CANILLERO PFAFF;1;0.0;CONSERVAR - tiene historial ventas
1096;HCB05080;HOLDER SUPPORT HAPPY HCS/HCS2/HCD/HCD2/HCR2;1;0.0;CONSERVAR - tiene historial ventas
1272;0888 200180;PLACA 2 AGUJAS 2,4 DK 888/260;1;0.0;CONSERVAR - tiene historial ventas
1354;99-136600-91;PISTON PRESILLA PF-491/591;1;0.0;CONSERVAR - tiene historial ventas
1717;S315 264294;MUELLE TIRAHILOS GB LP971;1;0.0;CONSERVAR - tiene historial ventas
