odoo_id;sku;nombre;odoo_list_price;wc_regular_price;neto_esperado;status;delta_actual_vs_esperado;wc_id
524;P-70102;FISPOLY40, P-70102;4.5;5.45;4.5;OK_NETO;0.0;8057
435;HCHplus-701-30;HAPPY HCHplus-701-30;8500.0;0.0;;WC_PRECIO_CERO;;78294
523;P-70101;FISPOLY40, P-70101;4.5;5.45;4.5;OK_NETO;0.0;8055
1525;TRANSC-H-140;ENCONADORA, TRANSCONADORA;250.0;0.0;;WC_PRECIO_CERO;;14582
522;P-60120;FISPOLY40, P-60120;4.5;5.45;4.5;OK_NETO;0.0;8053
1523;ESE-E4;SOFTWARE WILCOM EDITTING e4;1199.0;1450.79;1199.0;OK_NETO;0.0;9903
521;P-56065;FISPOLY40, P-56065;4.5;5.45;4.5;OK_NETO;0.0;8051
1522;ESL-E4;SOFTWARE WILCOM LETTERING e4;899.0;1087.79;899.0;OK_NETO;0.0;9902
520;P-50153;FISPOLY40, P-50153;4.5;5.45;4.5;OK_NETO;0.0;8049
1493;HCD13A30;LUZ HAPPY HCD2/HCD3/HCR2/HCR3;80.0;94.38;78.0;OTRO;2.0;8379
519;P-50142;FISPOLY40, P-50142;4.5;5.45;4.5;OK_NETO;0.0;8047
1437;DTM-BF;REGULADOR DIGITAL DE TENSIÓN TOWA;125.5;151.86;125.5;OK_NETO;0.0;8378
518;P-46896;FISPOLY40, P-46896;4.5;5.45;4.5;OK_NETO;0.0;8045
1425;ACEITE LB5;ACEITE LB5 300 ML.;5.11;6.18;5.11;OK_NETO;0.0;8377
517;P-46891;FISPOLY40, P-46891;4.5;5.45;4.5;OK_NETO;0.0;8043
3495;;AGUJAS 134R 10 uds;0.0;;;SIN_SKU;;
516;P-46887;FISPOLY40, P-46887;4.5;5.45;4.5;OK_NETO;0.0;8041
515;P-46498;FISPOLY40, P-46498;4.5;5.45;4.5;OK_NETO;0.0;8039
514;P-46487;FISPOLY40, P-46487;4.5;5.45;4.5;OK_NETO;0.0;8037
513;P-36701;FISPOLY40, P-36701;4.5;5.45;4.5;OK_NETO;0.0;8035
