product_id,ps_code,default_code,display_name,ps_qty,odoo_qty,delta,status
16120,5-28156,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),46.0,0.0,46.0,diff
16120,5-28157,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28159,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),2.0,0.0,2.0,diff
16120,5-28160,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28161,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28163,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-28164,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28165,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-28166,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28167,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-28168,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-28169,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-28170,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28171,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28172,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),2.0,0.0,2.0,diff
16120,5-28173,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28174,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28175,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28176,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),2.0,0.0,2.0,diff
16120,5-28177,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),2.0,0.0,2.0,diff
16120,5-28178,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28179,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28180,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28181,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28182,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),7.0,0.0,7.0,diff
16120,5-28183,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28184,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28185,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28186,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),1.0,0.0,1.0,diff
16120,5-28187,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28188,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-28189,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),2.0,0.0,2.0,diff
16120,5-28190,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-34293,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-34294,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-34295,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),7.0,0.0,7.0,diff
16120,5-34296,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-34297,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-35366,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-35367,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16124,546-24684,M33ENVIOMONTADO,[M33ENVIOMONTADO] Mabef 33 caballete reclinable mesa (Recogida en tienda),1.0,0.0,1.0,diff
16120,5-35368,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16124,546-24685,M33ENVIOMONTADO,[M33ENVIOMONTADO] Mabef 33 caballete reclinable mesa (Recogida en tienda),998.0,0.0,998.0,diff
16120,5-35369,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16124,546-37012,M33ENVIOMONTADO,[M33ENVIOMONTADO] Mabef 33 caballete reclinable mesa (Recogida en tienda),999.0,0.0,999.0,diff
16120,5-35370,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-35371,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-35372,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-35373,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-41627,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-41628,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-41629,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-41630,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),2.0,0.0,2.0,diff
16120,5-41631,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16120,5-41632,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-41633,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-41634,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),3.0,0.0,3.0,diff
16120,5-41754,1437107,[1437107] Oleo Winton 200 ml (Blanco Titanio),4.0,0.0,4.0,diff
16127,553-0,M24,[M24] Caja caballete sobremesa Mabef 24,,0.0,,missing_ps
16129,556-0,9105015M,[9105015M] Talens modelo Callisto,,0.0,,missing_ps
16133,558-0,M28,[M28] Mabef modelo 28,,0.0,,missing_ps
16135,564-0,SKU000564,[SKU000564] Funda caballete Reig,,0.0,,missing_ps
16137,570-0,91055551,[91055551] Talens caballete Formentera,,0.0,,missing_ps
16139,572-0,9105101M,[9105101M] Atril básico modelo Mira,,0.0,,missing_ps
16141,573-0,9105111M,[9105111M] Talens sobremesa adorno Elara,,0.0,,missing_ps
16142,574-0,9105110M,[9105110M] Talens sobremesa adorno Leda,,0.0,,missing_ps
16145,577-0,9105116M,[9105116M] Caballete sobremesa Ananke,,0.0,,missing_ps
16150,579-0,91055559,[91055559] Atril Sardegna,,0.0,,missing_ps
16152,580-5077,PS-580-5077,[PS-580-5077] Lápiz Pierre Noire Conté (Lápiz piedra negra 3B),12.0,0.0,12.0,diff
16153,580-5078,2271,[2271] Lápiz Pierre Noire Conté (Lápiz piedra negra B),35.0,0.0,35.0,diff
16154,580-35509,2286,[2286] Lápiz Pierre Noire Conté (Lápiz piedra negra H),999.0,0.0,999.0,diff
16155,580-35510,2272,[2272] Lápiz Pierre Noire Conté (Lápiz piedra negra HB),21.0,0.0,21.0,diff
16156,580-35511,2270,[2270] Lápiz Pierre Noire Conté (Lápiz piedra negra 2B),10.0,0.0,10.0,diff
16159,582-35640,PS-582-35640,[PS-582-35640] Lápiz de dibujo graso negro Faber (Lápiz graso negro blando),9975.0,0.0,9975.0,diff
16160,582-35641,112603,[112603] Lápiz de dibujo graso negro Faber (Lápiz graso negro medio),9985.0,0.0,9985.0,diff
16161,582-35642,112601,[112601] Lápiz de dibujo graso negro Faber (Lápiz graso negro extrablando),9984.0,0.0,9984.0,diff
16162,582-35643,112604,[112604] Lápiz de dibujo graso negro Faber (Lápiz graso negro duro),9991.0,0.0,9991.0,diff
16163,582-35644,112605,[112605] Lápiz de dibujo graso negro Faber (Lápiz graso extraduro),9993.0,0.0,9993.0,diff
16166,7-28339,884955089279,[884955089279] Oleo al agua Artisan Winsor Newton (Blanco Titanio),5.0,0.0,5.0,diff
16168,7-28340,094376896015,[094376896015] Oleo al agua Artisan Winsor Newton (Púrpura dioxadina),2.0,0.0,2.0,diff
16170,7-28341,094376896039,[094376896039] Oleo al agua Artisan Winsor Newton (Azul cerúleo tono),2.0,0.0,2.0,diff
16171,7-28342,884955089286,[884955089286] Oleo al agua Artisan Winsor Newton (Blanco zinc),4.0,0.0,4.0,diff
16172,7-28343,094376895889,[094376895889] Oleo al agua Artisan Winsor Newton (Amarillo cadmio claro tono),4.0,0.0,4.0,diff
16173,7-28344,884955094587,[884955094587] Oleo al agua Artisan Winsor Newton (Verde esmeralda viridian),4.0,0.0,4.0,diff
16188,585-0,112970,[112970] Caja madera dibujo Faber Castell,,0.0,,missing_ps
16174,7-28345,094376895902,[094376895902] Oleo al agua Artisan Winsor Newton (Amarillo cadmio tono),1.0,0.0,1.0,diff
16175,7-28346,094376896091,[094376896091] Oleo al agua Artisan Winsor Newton (Verde phtalo amarillo),2.0,0.0,2.0,diff
16176,7-28347,094376896138,[094376896138] Oleo al agua Artisan Winsor Newton (Verde oliva),2.0,0.0,2.0,diff
16177,7-28348,094376895919,[094376895919] Oleo al agua Artisan Winsor Newton (Amarillo cadmio medio),2.0,0.0,2.0,diff
16178,7-28349,094376895940,[094376895940] Oleo al agua Artisan Winsor Newton (Rojo cadmio medio),5.0,0.0,5.0,diff
16180,7-28350,094376896145,[094376896145] Oleo al agua Artisan Winsor Newton (Amarillo de Nápoles tono),2.0,0.0,2.0,diff
16181,7-28351,094376895933,[094376895933] Oleo al agua Artisan Winsor Newton (Rojo cadmio claro),2.0,0.0,2.0,diff
16206,589-0,119065,[119065] Caja lápices grafito Faber Art Set,,0.0,,missing_ps
16182,7-28352,094376896121,[094376896121] Oleo al agua Artisan Winsor Newton (Verde vejiga permanente),4.0,0.0,4.0,diff
16183,7-28353,094376895926,[094376895926] Oleo al agua Artisan Winsor Newton (Naranja de cadmio tono),2.0,0.0,2.0,diff
16184,7-28354,094376896213,[094376896213] Oleo al agua Artisan Winsor Newton (Gris Payne),2.0,0.0,2.0,diff
16185,7-28355,094376895971,[094376895971] Oleo al agua Artisan Winsor Newton (Rojo de cadmio oscuro tono),3.0,0.0,3.0,diff
16186,7-28356,094376896152,[094376896152] Oleo al agua Artisan Winsor Newton (Ocre amarillo),4.0,0.0,4.0,diff
16211,641-0,CD666-312,[CD666-312] Caja 12 lápices Caran d´ache Pablo,,0.0,,missing_ps
16187,7-28357,094376895995,[094376895995] Oleo al agua Artisan Winsor Newton (Carmesí alizarina permanente),3.0,0.0,3.0,diff
