Categoria;Accion recomendada;Prioridad;ID Odoo;ID WooCommerce;Referencia interna;SKU WC;Nombre;Enlazado WC;Origen;Stock;Pedidos;Variantes;Tipo producto Odoo;Producto relacionado ID;Producto relacionado nombre;Causa / motivo;Notas
DUPLICADO IMPORT;ARCHIVAR;ALTA;3225;;DUO-HCS3-1201-40;;"DUO COMBO HAPPY HCS3.

COMBO ESPECIAL DE DOS CABEZALES DE HCS3, UNIDOS SOBRE UNA BANCADA ESPECIAL. (ESTE TIPO DE COMBO, OFRECE UNA MAYOR VERSATILIDAD Y PRODUCCIÓN, QUE LAS MÁQUINAS DE BORDAR DE DOS CABEZALES CONVENCIONALES)
CARACTERISTICAS DE CADA CABEZAL:
- MAQUINA DE BORDAR INDUSTRIAL de 12 agujas, CON UN AREA MAX DE BORDADO REAL DE 320X320MM EN BASTIDOR PORTAL (OPCIONAL), de 290x290 en bastidor TUBULAR Y DE 67X290MM CON EL BASTIDOR DE GORRAS.
- NUEVO BRAZO, DE TAMAÑO MUCHO MAS PEQUEÑO, QUE PERMITE BORDAR EN ESPACIOS MAS REDUCIDOS.
- NUEVO SOPORTE PARA LOS HILOS, QUE PERMITE PONER BOINAS DE HILO CON UNA BASE MAS ANCHA.
- VELOCIDAD MAX DE 1.000 PUNTADAS.
- NUEVA PANTALLA TACTIL 7"" con nuevo sistema de tratamiento de datos, con posibilidad de usar cualquier adaptador wifi por usb, CONEXION LAN incorporada , USB Y USB FRONTAL.
- Nuevo sistema de movimiento de bastidor sin vib
esperaciones. 
- bOBINADOR DE HILO DE CANILLA INCORPORADO E INDEPENDIENTE (NO ES NECESARIO QUE LA MAQUINA ESTE EN MARCHA PARA QUE ESTE TRABAJE).
- pOSIBILIDAD DE CREAR TEXTOS CON DISTINTOS ESTILOS DE FUENTES, TAMAÑOS Y FORMAS DESDE EL PANEL.
- pOSICIONAMIENTO CON MARCADOR LÁSER TIPO CRUZ.
- LUZ LED FRONTAL.
- reconocimiento DEL ÁREA DE BORDADO QUE PERMITE EL CENTRAR EL DISEÑO EN EL BASTIDOR CON SOLO PULSAR UN BOTÓN Y TAMBIÉN EVITAR POSIBLES GOLPES DE LA AGUJA EN EL BASTIDOR.
- iNCLUYE 100 DISEÑOS EN LA MEMORIA.
- edición CON SOFTWARE HAPPY LINK/LAN INCLUIDO.
- pOSIBILIDAD DE DISTINTOS TIPOS DE BASTIDORES ESPECIALES (OPCIONAL VEASE EN EL CATALOGO 

- Se entrega con: bancada, kits de gorras,  6 juegos dobles de bastidores de 15, 18 y 21 cm y dos de 32X32.";NO;import reciente (copia);0;0;;;2885;"DUO COMBO HAPPY HCS3.  COMBO ESPECIAL DE DOS CABEZALES DE HCS3, UNIDOS SOBRE UNA BANCADA ESPECIAL. (ESTE TIPO DE COMBO, OFRECE UNA MAYOR VERSATILIDAD Y PRODUCCIÓN, QUE LAS MÁQUINAS DE BORDAR DE DOS CABEZALES CONVENCIONALES) CARACTERISTICAS DE CADA CABEZAL: - MAQUINA DE BORDAR INDUSTRIAL de 12 agujas, CON UN AREA MAX DE BORDADO REAL DE 320X320MM EN BASTIDOR PORTAL (OPCIONAL), de 290x290 en bastidor TUBULAR Y DE 67X290MM CON EL BASTIDOR DE GORRAS. - NUEVO BRAZO, DE TAMAÑO MUCHO MAS PEQUEÑO, QUE PERMITE BORDAR EN ESPACIOS MAS REDUCIDOS. - NUEVO SOPORTE PARA LOS HILOS, QUE PERMITE PONER BOINAS DE HILO CON UNA BASE MAS ANCHA. - VELOCIDAD MAX DE 1.000 PUNTADAS. - NUEVA PANTALLA TACTIL 7&quot; con nuevo sistema de tratamiento de datos, con posibilidad de usar cualquier adaptador wifi por usb, CONEXION LAN incorporada , USB Y USB FRONTAL. - Nuevo sistema de movimiento de bastidor sin vib esperaciones.  - bOBINADOR DE HILO DE CANILLA INCORPORADO E INDEPENDIENTE (NO ES NECESARIO QUE LA MAQUINA ESTE EN MARCHA PARA QUE ESTE TRABAJE). - pOSIBILIDAD DE CREAR TEXTOS CON DISTINTOS ESTILOS DE FUENTES, TAMAÑOS Y FORMAS DESDE EL PANEL. - pOSICIONAMIENTO CON MARCADOR LÁSER TIPO CRUZ. - LUZ LED FRONTAL. - reconocimiento DEL ÁREA DE BORDADO QUE PERMITE EL CENTRAR EL DISEÑO EN EL BASTIDOR CON SOLO PULSAR UN BOTÓN Y TAMBIÉN EVITAR POSIBLES GOLPES DE LA AGUJA EN EL BASTIDOR. - iNCLUYE 100 DISEÑOS EN LA MEMORIA. - edición CON SOFTWARE HAPPY LINK/LAN INCLUIDO. - pOSIBILIDAD DE DISTINTOS TIPOS DE BASTIDORES ESPECIALES (OPCIONAL VEASE EN EL CATALOGO   - Se entrega con: bancada, kits de gorras,  6 juegos dobles de bastidores de 15, 18 y 21 cm y dos de 32X32.";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2885
DUPLICADO IMPORT;ARCHIVAR;ALTA;3188;;EPZ01410;;"PANEL LCD 10"" HAPPY";NO;import reciente (copia);0;0;;;1664;"PANEL LCD 10&quot; HAPPY";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1664
DUPLICADO IMPORT;ARCHIVAR;ALTA;3212;;EPZ01490;;"PANTALLA LCD HAPPY 7""";NO;import reciente (copia);0;0;;;2431;"PANTALLA LCD HAPPY 7&quot;";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2431
DUPLICADO IMPORT;ARCHIVAR;ALTA;3207;;FC345;;"BASTIDOR FAST CLAMPING 3,5""X4""(89X101,5MM)";NO;import reciente (copia);0;0;;;2225;"BASTIDOR FAST CLAMPING 3,5&quot;X4&quot;(89X101,5MM)";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2225
DUPLICADO IMPORT;ARCHIVAR;ALTA;3206;;FC45;;"BASTIDOR FAST CLAMPING 4,5""X4,5"" (114X114MM)";NO;import reciente (copia);0;0;;;2224;"BASTIDOR FAST CLAMPING 4,5&quot;X4,5&quot; (114X114MM)";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2224
DUPLICADO IMPORT;ARCHIVAR;ALTA;3208;;FC456;;"BASTIDOR FAST CLAMPING 4,5""X6"" (114,3X152,4MM)";NO;import reciente (copia);0;0;;;2226;"BASTIDOR FAST CLAMPING 4,5&quot;X6&quot; (114,3X152,4MM)";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2226
DUPLICADO IMPORT;ARCHIVAR;ALTA;3205;;FC65;;"BASTIDOR FAST CLAMPING 6,5""X6,5"" (165,1X165,1MM)";NO;import reciente (copia);0;0;;;2223;"BASTIDOR FAST CLAMPING 6,5&quot;X6,5&quot; (165,1X165,1MM)";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2223
DUPLICADO IMPORT;ARCHIVAR;ALTA;3222;;HCA04100;;"CUCHILLA FIJA HAPPY ""B"" HCA/HCG/HCM";NO;import reciente (copia);0;0;;;2857;"CUCHILLA FIJA HAPPY &quot;B&quot; HCA/HCG/HCM";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2857
DUPLICADO IMPORT;ARCHIVAR;ALTA;3209;;HCD05A13;;SOPORTE CUCHILLAS HAPPY HCD2 // THREAD CUTTING DEVICE BASE ASS'Y;NO;import reciente (copia);0;0;;;2314;"SOPORTE CUCHILLAS HAPPY HCD2 // THREAD CUTTING DEVICE BASE ASS&apos;Y";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2314
DUPLICADO IMPORT;ARCHIVAR;ALTA;3217;;HCD29540;;"REAR COVER (10.4 in) HAPPY (SOPORTE LCD 10"")";NO;import reciente (copia);0;0;;;2592;"REAR COVER (10.4 in) HAPPY (SOPORTE LCD 10&quot;)";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2592
