Categoria;Accion recomendada;Prioridad;ID Odoo;ID WooCommerce;Referencia interna;SKU WC;Nombre;Enlazado WC;Origen;Stock;Pedidos;Variantes;Tipo producto Odoo;Producto relacionado ID;Producto relacionado nombre;Causa / motivo;Notas
DUPLICADO REFERENCIA;REVISAR;BAJA;446;;HCR3-X1506 S/G;;"HAPPY HCR3-X1506-45 S/G -Máquina de bordar, de 6 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm. - Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z). -Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4&quot;, con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet. -Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados. - Bobinador de hilo de canilla con motor independiente. - Puertos usb/lan. -Iluminación led sobre el área de bordado. - Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.  - Equipamiento suministrado con la máquina: . Bastidor portal . 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3149;;HCR3-X1506 S/G;;"HAPPY HCR3-X1506-45 S/G
-Máquina de bordar, de 6 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm.
- Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z).
-Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4"", con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet.
-Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados.
- Bobinador de hilo de canilla con motor independiente.
- Puertos usb/lan.
-Iluminación led sobre el área de bordado.
- Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.

- Equipamiento suministrado con la máquina:
. Bastidor portal
. 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;447;;HCR3-X1506-45;;"HAPPY HCR3-X1506-45  -Máquina de bordar, de 6 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm. - Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z). -Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4&quot;, con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet. -Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados. - Bobinador de hilo de canilla con motor independiente. - Puertos usb/lan. -Iluminación led sobre el área de bordado. - Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.  - Equipamiento suministrado con la máquina: - Bastidor portal. - Kit bastidor de gorras - 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3150;;HCR3-X1506-45;;"HAPPY HCR3-X1506-45 
-Máquina de bordar, de 6 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm.
- Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z).
-Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4"", con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet.
-Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados.
- Bobinador de hilo de canilla con motor independiente.
- Puertos usb/lan.
-Iluminación led sobre el área de bordado.
- Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.

- Equipamiento suministrado con la máquina:
- Bastidor portal.
- Kit bastidor de gorras
- 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;450;;HCR3-X1508 S/G;;"HAPPY HCR3-X1508-45 S/G -Máquina de bordar, de 6 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm. - Nuevos motores Servo, mayor calidad en el bordado (Todos los motores de la Máquina son Servomotores, X, Y y Z. -Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4&quot;, con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet. -Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados. - Bobinador de hilo de canilla con motor independiente. - Puertos usb/lan. -Iluminación led sobre el área de bordado. - Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.  - Equipamiento suministrado con la máquina: . Bastidor portal . 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3151;;HCR3-X1508 S/G;;"HAPPY HCR3-X1508-45 S/G
-Máquina de bordar, de 6 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm.
- Nuevos motores Servo, mayor calidad en el bordado (Todos los motores de la Máquina son Servomotores, X, Y y Z.
-Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4"", con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet.
-Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados.
- Bobinador de hilo de canilla con motor independiente.
- Puertos usb/lan.
-Iluminación led sobre el área de bordado.
- Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.

- Equipamiento suministrado con la máquina:
. Bastidor portal
. 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;451;;HCR3-X1508-45;;"HAPPY HCR3-X1508-45 - Máquina de bordar, de 8 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm. - Nuevos motores Servo, mayor calidad en el bordado (Todos los motores de la Máquina son Servomotores, X, Y y Z. - Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4&quot;, con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet. - Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados. - Bobinador de hilo de canilla con motor independiente. - Puertos usb/lan. - Iluminación led sobre el área de bordado. - Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.  - Equipamiento suministrado con la máquina: . Bastidor portal. - Kit bastidor de gorras. - 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3152;;HCR3-X1508-45;;"HAPPY HCR3-X1508-45
- Máquina de bordar, de 8 cabezas y 15 agujas, con una distancia entre cabezales de 500mm, un campo de bordado de 450x500mm en plano y de 420x440mm con bastidor tubular a una velocidad de 1.100rpm.
- Nuevos motores Servo, mayor calidad en el bordado (Todos los motores de la Máquina son Servomotores, X, Y y Z.
- Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4"", con conexión WIFI incorporada para la transferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet.
- Desde el panel tenemos la posibilidad, desde crear alfabetos, como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados.
- Bobinador de hilo de canilla con motor independiente.
- Puertos usb/lan.
- Iluminación led sobre el área de bordado.
- Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.

- Equipamiento suministrado con la máquina:
. Bastidor portal.
- Kit bastidor de gorras.
- 3 juegos de bastidores tubulares a elegir entre varias medidas.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2977;;HCSU29010;;"DISPLAY MODULE 7&quot; HCD3E/HCD2 HAPPY";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;979;;HCU-1401-40 S/G;;"HCU-1401-40W - Máquina de bordar de 1 cabezal y 14 agujas. - Prensatelas con regulación electrónica de altura y ajuste automático de el espesor del genero, que permite al usuario no tener que realizar ajustes manuales, en los bordados 3D, etc. - Equipada con marcador láser en cruz 100% preciso, un campo de trabajo de 400X600 tanto en tubular como en plano. - Campo ampliable a 400X1200. - Pantalla táctil de 7&quot;, con la mayor posibilidad personalizar la configuración, para hacerla aun mas productiva.  - Auto reparación automática de todos lo errores que los fallos humanos puedan producir, o por cortes de luz. - Conexión WIFI y LAN, bidireccional, que permite tanto enviar los diseños desde el ordenador, como obtenerlos desde la máquina. - Iluminación LED sobre el área de bordado. - Velocidad de 1500 r.p.m., que ofrecen la máxima calidad gracias a la incorporación de servomotores en todos sus movimientos.  Incluye, 4 juegos de bastidores tubulares, bancada y accesorios.";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3160;;HCU-1401-40 S/G;;"HCU-1401-40W
- Máquina de bordar de 1 cabezal y 14 agujas.
- Prensatelas con regulación electrónica de altura y ajuste automático de el espesor del genero, que permite al usuario no tener que realizar ajustes manuales, en los bordados 3D, etc.
- Equipada con marcador láser en cruz 100% preciso, un campo de trabajo de 400X600 tanto en tubular como en plano.
- Campo ampliable a 400X1200.
- Pantalla táctil de 7"", con la mayor posibilidad personalizar la configuración, para hacerla aun mas productiva. 
- Auto reparación automática de todos lo errores que los fallos humanos puedan producir, o por cortes de luz.
- Conexión WIFI y LAN, bidireccional, que permite tanto enviar los diseños desde el ordenador, como obtenerlos desde la máquina.
- Iluminación LED sobre el área de bordado.
- Velocidad de 1500 r.p.m., que ofrecen la máxima calidad gracias a la incorporación de servomotores en todos sus movimientos.

Incluye, 4 juegos de bastidores tubulares, bancada y accesorios.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1948;;HCU25100;;"PLETINA SUJECIÓN CORREA EJE &quot;Y&quot; HAPPY HCU";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1947;;HCU25110;;"PLETINA CONEXIÓN CORREA EJE &quot;Y&quot; HAPPY HCU";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;457;;HFR-W1502-120;;"HAPPY HFR-W1502-120 - Campo de trabajo: 2 cabezales Y1200xX600 mm. - Máquina de 15 Agujas; velocidad máxima 1000rpm. - Panel de control 10,4&quot; LCD color táctil. - HAPPY LAN software. - Cambio de color automático. - Detección rotura de hilo automática. - Ranura para memoria USB. -&quot;Offset&quot; automático/bastidor fuera. - Retorno al origen. - Función trazado, edición de diseños, rotación y repetición de diseños - Posibilidad de colocación de dispositivos para la aplicación de lentejuelas, cordones y cintas.";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3156;;HFR-W1502-120;;"HAPPY HFR-W1502-120
- Campo de trabajo: 2 cabezales Y1200xX600 mm.
- Máquina de 15 Agujas; velocidad máxima 1000rpm.
- Panel de control 10,4"" LCD color táctil.
- HAPPY LAN software.
- Cambio de color automático.
- Detección rotura de hilo automática.
- Ranura para memoria USB.
-""Offset"" automático/bastidor fuera.
- Retorno al origen.
- Función trazado, edición de diseños, rotación y repetición de diseños
- Posibilidad de colocación de dispositivos para la aplicación de lentejuelas, cordones y cintas.";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;456;;HFR-W1502A-120;;"HAPPY HFR-W1502A-120 - Campo de trabajo: 2 cabezales Y1200xX600 mm.; 1 cabezal Y1200xX1200 mm. - Máquina de 15 Agujas; velocidad máxima 1000rpm. - Panel de control 10,4&quot; LCD color táctil. - HAPPY LAN software. - Cambio de color automático. - Detección rotura de hilo automática. - Ranura para memoria USB. -&quot;Offset&quot; automático/bastidor fuera. - Retorno al origen. - Función trazado, edición de diseños, rotación y repetición de diseños - Posibilidad de colocación de dispositivos para la aplicación de lentejuelas, cordones y cintas.";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR - tiene pedidos;MEDIA;3155;;HFR-W1502A-120;;"HAPPY HFR-W1502A-120
- Campo de trabajo: 2 cabezales Y1200xX600 mm.; 1 cabezal Y1200xX1200 mm.
- Máquina de 15 Agujas; velocidad máxima 1000rpm.
- Panel de control 10,4"" LCD color táctil.
- HAPPY LAN software.
- Cambio de color automático.
- Detección rotura de hilo automática.
- Ranura para memoria USB.
-""Offset"" automático/bastidor fuera.
- Retorno al origen.
- Función trazado, edición de diseños, rotación y repetición de diseños
- Posibilidad de colocación de dispositivos para la aplicación de lentejuelas, cordones y cintas.";NO;medio;0.0;1;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2015;;HMG08130;;"CUSHION &quot;B&quot; HAPPY BLANCO HCGB/HMF";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1234;;M0483229;;"THREAD DETECTING CIRCUIT BOARD ASS&apos;Y HAPPY HCG SERIES";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3173;;M0483229;;THREAD DETECTING CIRCUIT BOARD ASS'Y HAPPY HCG SERIES;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3035;;MF00A0834-B;;"CUCHILLA MOVIL MITSUBISHI &quot;B&quot; LS2-150/180/190";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3232;;MF00A0834-B;;"CUCHILLA MOVIL MITSUBISHI ""B"" LS2-150/180/190";NO;import reciente;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1583;;MH 9x5;;MIGHTY HOOP PARA HAPPY 360;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3186;;MH 9x5;;"9""x5"" MIGHTY HOOP PARA HAPPY 360";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1626;;NEO10;;BOBINA HILO POLYNEON 40 COLOR 1000M C/;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3187;;NEO10;;"BOBINA HILO POLYNEON 40 COLOR 1000M
C/";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1685;;PISAIRDES;;PISTOLA AIRE;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2574;;PISAIRDES;;PISTOLA AIRE;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1202;;SBBD03005;;"TORNILLO SUJECC. PRENSATELAS HAPPY HCD2/HCR2/HMF &amp; HMG NOISE REDUCTION";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3172;;SBBD03005;;TORNILLO SUJECC. PRENSATELAS HAPPY HCD2/HCR2/HMF & HMG NOISE REDUCTION;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1318;;SCH134KKD90;;AGUJAS 134KKD-90;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1772;;SCH134KKD90;;AGUJAS 134KKD-90;NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1725;;ST-M0404-HA360;;"MIGHTYHOOP 4&quot; X 4&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1722;;ST-M0413-HA500;;"MIGHTYHOOP 4&quot; X 12,75&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;968;;ST-M0505-HA360;;"MIGHTYHOOP 5,5&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR - tiene pedidos;MEDIA;3157;;ST-M0505-HA360;;"MIGHTYHOOP 5,5"" ECO";NO;medio;0.0;1;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2206;;ST-M0505-W;;MARCO MIGHTYHOOP 5,5 ECO;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1723;;ST-M0608-HA360;;"MIGHTYHOOP 6&quot; X 8&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1719;;ST-M0803-HA360;;"MIGHTYHOOP 7,75&quot; X 2,75&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2991;;ST-M0809-HA360;;"MIGHTYHOOP 8,5 X 9&quot; ECO";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1716;;ST-M0813-HA500;;"MIGHTYHOOP 8 X 13&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2990;;ST-M0905-HA360;;"MIGHTYHOOP 8,7 X 4,9&quot; ECO";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2950;;ST-M1010;;MARCO MIGHTYHOOP 10 ECO;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;969;;ST-M1010-HA360;;"MIGHTYHOOP 10 X 10&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR - tiene pedidos;MEDIA;3158;;ST-M1010-HA360;;"MIGHTYHOOP 10 X 10"" ECO";NO;medio;0.0;2;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;970;;ST-M1113-HA500;;"MIGHTYHOOP 11 X 13&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3159;;ST-M1113-HA500;;"MIGHTYHOOP 11 X 13"" ECO";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2948;;ST-M1212-HA500;;MIDGHTYHOOP 12 X 12 ECO;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2719;;ST-M1304-HA500;;"MIGHTYHOOP 12,6&quot; X 3,9&quot; ECO";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1721;;ST-M1316-HA500;;"MIGHTYHOOP 12,5&quot; X 15,5&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2949;;ST-M1716-HA500;;"MIGHTYHOOP 17 X 16&quot;";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1724;;ST-M6565-HA360;;"MIGHTYHOOP 6,5&quot; X 6,5&quot; ECO";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2720;;ST-M7272-HA500;;"MIGHTYHOOP 7,25&quot; ECO";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2863;;TA-9A0802400012;;EXCENTRICO PARTIDO  PRENSATELAS (M) TAJIMA: (TFMX, TFMXII, TFGN,);NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2862;;TA-9A0802500000;;EXCENTRICO PARTIDO  PRENSATELAS (F1) TAJIMA: (TFHX, TMFD, TFGN, TMLH-MIX, TMLHII-MIX Y TCMX-MIX);NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;1281;;WPAA03000;;"ARANDELA PRENSATELAS HAPPY HCD2/HCR2/HMF &amp; HMG NOISE REDUCTION";NO;legacy;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;3175;;WPAA03000;;ARANDELA PRENSATELAS HAPPY HCD2/HCR2/HMF & HMG NOISE REDUCTION;NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2432;;hcd29582;;"FRONT PANEL COVER 7&quot; HAPPY";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
DUPLICADO REFERENCIA;REVISAR;BAJA;2433;;hcd29590;;"REAR COVER PANEL 7&quot; HAPPY";NO;medio;0.0;0;;;;;Referencia interna duplicada en Odoo;
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1192096;;ST-M1010w;"""MARCO"" MIGHTYHOOP 10"" ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 0. IDs: N/A
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1192091;;ST-M0505-W;"""MARCO"" MIGHTYHOOP 5,5"" ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 2206, 3204
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1190942;;;AGUJAS 134D 10 uds;NO;;;;;;;;SKU vacio en WooCommerce;Duplicados Odoo con mismo SKU: 0. IDs: N/A
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;7986;;;CAJA DE CANILLAS PREBOBINADAS PREMIUM ROYAL 70D/2 L;NO;;;;;;;;SKU vacio en WooCommerce;Duplicados Odoo con mismo SKU: 0. IDs: N/A
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;287248;;;ESPUMA 3D;NO;;;;;;;;SKU vacio en WooCommerce;Duplicados Odoo con mismo SKU: 0. IDs: N/A
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1192083;;TA-9A0802400012;EXCENTRICO PARTIDO  PRENSATELAS (M) TAJIMA: (TFMX, TFMXII, TFGN,);NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 2863, 3224
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;8342;;;HILO DE CANILLA ANZEL SUPER 10.000MT;NO;;;;;;;;SKU vacio en WooCommerce;Duplicados Odoo con mismo SKU: 0. IDs: N/A
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1191055;;;HILO DE ESPUMA 10.000;NO;;;;;;;;SKU vacio en WooCommerce;Duplicados Odoo con mismo SKU: 0. IDs: N/A
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1191063;;;HILO MERROW 10.000MT;NO;;;;;;;;SKU vacio en WooCommerce;Duplicados Odoo con mismo SKU: 0. IDs: N/A
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1190014;;ST-M1212-HA500;"MIDGHTYHOOP 12 X 12"" ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 2948, 3226
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;393712;;ST-M1316-HA500;"MIGHTYHOOP 12,5&quot; X 15,5&quot; ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 1721, 3192
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1189760;;ST-M1304-HA500;"MIGHTYHOOP 12,6"" X 3,9"" ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 2719, 3220
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;393715;;ST-M0413-HA500;"MIGHTYHOOP 4&quot; X 12,75&quot; ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 1722, 3193
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;393967;;ST-M0404-HA360;"MIGHTYHOOP 4&quot; X 4&quot; ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 1725, 3196
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;410409;;ST-M0608-HA360;"MIGHTYHOOP 6&quot; X 8&quot; ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 1723, 3194
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;393964;;ST-M6565-HA360;"MIGHTYHOOP 6,5&quot; X 6,5&quot; ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 1724, 3195
WC SIN ENLAZAR;CORREGIR Y REIMPORTAR;ALTA;;1189765;;ST-M7272-HA500;"MIGHTYHOOP 7,25"" ECO";NO;;;;;;;;SKU duplicado en Odoo;Duplicados Odoo con mismo SKU: 2. IDs: 2720, 3221
